site,country,region,Latitude,Longitude,Georef rank,Abot sampling,dating,Phase,start date,end date,Median age,-,-,-,-,-,-,-,-,-,-,-,-,references
Tell Kurdu,Turkey,LN,36.33000183,36.45000076,1,2,C14,Pottery Neolithic,-5990,-5510,-5750,Tm  ,-,Hv,-,Le,Ci ,-,-,-,-,-,-5750,Yener et al. 2000
Tell Maghzaliyeh (Magzalia),Iraq,N,36.398,42.324,2,2,C-14,LPPNB,-7050,-6250,-6650,Tm,Td,Hv,-,Le,-,-,-,-,-,Linu,-6700,Willcox 2006
Tell Nebi Mend (Kadesh),Syria,LN,34.555077,36.518235,3,3,C14,Late PPNB,-7030,-6630,-6830,Tm,Td,Hv,-,Le,-,-,-,-,-,-,-6830,Smith and Moffett 2015
Tell Qaramel,Syria,LN,36.27999878,37.33000183,2,2,C14,PPNA,-10300,-8850,-9575,Tm,Td,Hv,-,Le,-,-,Vic,-,-,-,-9575,Willcox et al. 2009; Willcox et al 2008; Willcox and Hervuex 2013
Tell Qarassa North,Syria,LS,32.7,36.3,2,3,AMS,EPPNB,-8700,-8400,-8550,Tm,Td,Hv,-,Le,Ci,Pis,Vice,Vicf,La,-,-8550,Arranz-Otaegui et al 2016a; Arranz-Otaegui et al 2016b
Tell Teo,Israel  ,LS,33.115761,35.569655,2,2ph,ass,PPNB,-7500,-6500,-7000,?Tm,?Td,Hv,-,-,-,-,-,-,-,-,-7000,Rosen 1989
Tell Teo,Israel  ,LS,33.115761,35.569655,2,2ph,ass,Pneo,-6500,-5000,-5750,?Tm,?Td,Hv,-,-,-,-,-,-,-,-,-5750,Rosen 1989
Tepe Abdul Hosein,Iran,E,33.774761,47.967613,1,2,C14,PPNB,-8300,-7800,-8050,-,Td,Hv,-,Le,-,-,-,-,-,-,-8050,Hubbard 1990
Tepe Marani,Iraq,E,35.210612,45.921059,3,3,AMS,Halaf,-5600,-5000,-5300,-,Td,Hv,-,Le,-,Pis,Vic,-,La,Linu,-5300,Wengrow et al 2016
Tepe Sialk north,Iran,E,33.974365,51.407387,1,3,C14,Sialk I (end of 6th millenium),-5894,-5725,-5809.5,-,Td,Hv,-,-,-,-,-,-,-,-,-5809.5,Tengberg 2004
Tepe Yahya,Iran,E,28.330833,56.8675,3,1,ass,Neolithic,-5500,-5000,-5250,Tm  ,Td,Hv,-,-,-,-,-,-,-,-,-5250,Costantini and Costantini-Biasini 1985.
Umm Dabaghiyah,Iraq,N,35.59999847,42.56999969,1,1,ass,PPNB,-6900,-5500,-6200,-,Td,Hv,-,-,-,-,-,-,-,-,-6200,Helbaek 1972a
Umm Qseir,Syria,N,36.38000107,40.84999847,1,2,C14,Pottery Neolithic,-5845,-5630,-5737.5,-,Td,Hv,-,Le,Ci ,-,Vic,-,-,-,-5737.5,McCorriston 1992
Wadi Faynan 16,Jordan,LS,30.66083333,35.45008292,3,3,C14,PPNA,-10600,-8200,-9400,-,-,Hv,-,-,-,-,-,-,-,-,-9400,Kennedy 2007
Wadi Fidan A,Jordan,LS,30.82999992,35.5,2,3,ass,PPNB,-7300,-6750,-7025,Tm,Td,Hv,-,-,-,-,-,-,-,-,-7025,Colledge 2001
