variant	canon	group	genus	family	category	founder_crop	edibility	grass_type	legume_type	wood
Scirpus	Scirpus sp.	Bolboschoenus spp. (incl. glaucus, maritimus)	Scirpus	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Scirpus maritimus/tuberosus	Scirpus sp.	Bolboschoenus spp. (incl. glaucus, maritimus)	Scirpus	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Brachiaria sp.	Brachiaria sp.	Brachiaria sp.	Brachiaria	Poaceae	Grasses	NA		Small-seeded	NA	NA
Brachypodium distachyon	Brachypodium distachyon	Brachypodium distachyon	Brachypodium	Poaceae	Grasses	NA		Small/medium-seeded	NA	NA
Brassica nigra	Brassica nigra	Brassica spp. (incl. nigra)	Brassica	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Brassica nigra (L.) Koch	Brassica nigra	Brassica spp. (incl. nigra)	Brassica	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Brassica	Brassica sp.	Brassica spp. (incl. nigra)	Brassica	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Brassica sp.	Brassica sp.	Brassica spp. (incl. nigra)	Brassica	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Bromus arvensis type	Bromus arvensis	Bromus spp. (incl. arvensis, danthoniae, diandrus, hordeaceus, secalinus, sterilis, tectorum)	Bromus	Poaceae	Grasses	NA		Small/medium-seeded	NA	NA
Bromus danthoniae type	Bromus danthoniae	Bromus spp. (incl. arvensis, danthoniae, diandrus, hordeaceus, secalinus, sterilis, tectorum)	Bromus	Poaceae	Grasses	NA		Small/medium-seeded	NA	NA
Bromus diandrus Roth	Bromus diandrus	Bromus spp. (incl. arvensis, danthoniae, diandrus, hordeaceus, secalinus, sterilis, tectorum)	Bromus	Poaceae	Grasses	NA		Small/medium-seeded	NA	NA
Bromus hordeaceus type	Bromus hordeaceus	Bromus spp. (incl. arvensis, danthoniae, diandrus, hordeaceus, secalinus, sterilis, tectorum)	Bromus	Poaceae	Grasses	NA		Small/medium-seeded	NA	NA
Bromus secalinus L.	Bromus secalinus	Bromus spp. (incl. arvensis, danthoniae, diandrus, hordeaceus, secalinus, sterilis, tectorum)	Bromus	Poaceae	Grasses	NA		Small/medium-seeded	NA	NA
Bromus	Bromus sp.	Bromus spp. (incl. arvensis, danthoniae, diandrus, hordeaceus, secalinus, sterilis, tectorum)	Bromus	Poaceae	Grasses	NA		Small/medium-seeded	NA	NA
Bromus rigidus/sterilis	Bromus sp.	Bromus spp. (incl. arvensis, danthoniae, diandrus, hordeaceus, secalinus, sterilis, tectorum)	Bromus	Poaceae	Grasses	NA		Small/medium-seeded	NA	NA
Bromus sp.	Bromus sp.	Bromus spp. (incl. arvensis, danthoniae, diandrus, hordeaceus, secalinus, sterilis, tectorum)	Bromus	Poaceae	Grasses	NA		Small/medium-seeded	NA	NA
cf. Bromus sp.	Bromus sp.	Bromus spp. (incl. arvensis, danthoniae, diandrus, hordeaceus, secalinus, sterilis, tectorum)	Bromus	Poaceae	Grasses	NA		Small/medium-seeded	NA	NA
Bromus sterilis	Bromus sterilis	Bromus spp. (incl. arvensis, danthoniae, diandrus, hordeaceus, secalinus, sterilis, tectorum)	Bromus	Poaceae	Grasses	NA		Small/medium-seeded	NA	NA
Bromus tectorum L.	Bromus tectorum	Bromus spp. (incl. arvensis, danthoniae, diandrus, hordeaceus, secalinus, sterilis, tectorum)	Bromus	Poaceae	Grasses	NA		Small/medium-seeded	NA	NA
Bryonia	Bryonia sp.	Bryonia sp.	Bryonia	Cucurbitaceae	Wild plants	NA		NA	NA	NA
