variant	canon	group	genus	family	category	founder_crop	edibility	grass_type	legume_type	wood
Lycopus sp. uncarbonized	Lycopus sp.	Lycopus sp.	Lycopus	Lamiaceae	Wild plants	NA		NA	NA	NA
Malcolmia	Malcolmia sp.	Malcolmia sp.	Malcolmia	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Malus sp.	Malus sp.	Malus spp. (incl. sylvestris)	Malus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Malus sylvestris Miller	Malus sylvestris	Malus spp. (incl. sylvestris)	Malus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Malva aegyptia L.	Malva aegyptia	Malva spp. (incl. aegyptia, nicaeensis, parviflora, sylvestris)	Malva	Malvaceae	Wild plants	NA		NA	NA	NA
Malva nicaeensis	Malva nicaeensis	Malva spp. (incl. aegyptia, nicaeensis, parviflora, sylvestris)	Malva	Malvaceae	Wild plants	NA		NA	NA	NA
Malva parviflora	Malva parviflora	Malva spp. (incl. aegyptia, nicaeensis, parviflora, sylvestris)	Malva	Malvaceae	Wild plants	NA		NA	NA	NA
Malva parviflora L.	Malva parviflora	Malva spp. (incl. aegyptia, nicaeensis, parviflora, sylvestris)	Malva	Malvaceae	Wild plants	NA		NA	NA	NA
cf. Malva sp.	Malva sp.	Malva spp. (incl. aegyptia, nicaeensis, parviflora, sylvestris)	Malva	Malvaceae	Wild plants	NA		NA	NA	NA
Malva	Malva sp.	Malva spp. (incl. aegyptia, nicaeensis, parviflora, sylvestris)	Malva	Malvaceae	Wild plants	NA		NA	NA	NA
Malva nicaensis/sylvestris	Malva sp.	Malva spp. (incl. aegyptia, nicaeensis, parviflora, sylvestris)	Malva	Malvaceae	Wild plants	NA		NA	NA	NA
Malva parviflora/nicaeensis	Malva sp.	Malva spp. (incl. aegyptia, nicaeensis, parviflora, sylvestris)	Malva	Malvaceae	Wild plants	NA		NA	NA	NA
Malva sp.	Malva sp.	Malva spp. (incl. aegyptia, nicaeensis, parviflora, sylvestris)	Malva	Malvaceae	Wild plants	NA		NA	NA	NA
Malva sp. uncarbonized	Malva sp.	Malva spp. (incl. aegyptia, nicaeensis, parviflora, sylvestris)	Malva	Malvaceae	Wild plants	NA		NA	NA	NA
Malva sylvestris	Malva sylvestris	Malva spp. (incl. aegyptia, nicaeensis, parviflora, sylvestris)	Malva	Malvaceae	Wild plants	NA		NA	NA	NA
Malva sylvestris L.	Malva sylvestris	Malva spp. (incl. aegyptia, nicaeensis, parviflora, sylvestris)	Malva	Malvaceae	Wild plants	NA		NA	NA	NA
Matricaria	Matricaria sp.	Matricaria sp.	Matricaria	Asteraceae	Wild plants	NA		NA	NA	NA
Matricaria sp. L.	Matricaria sp.	Matricaria sp.	Matricaria	Asteraceae	Wild plants	NA		NA	NA	NA
Matricaria type	Matricaria sp.	Matricaria sp.	Matricaria	Asteraceae	Wild plants	NA		NA	NA	NA
Medicago laciniata	Medicago laciniata	Medicago spp. (incl. laciniata, minima, orbicularis, polymorpha, radiata, truncatula)	Medicago	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Medicago minima	Medicago minima	Medicago spp. (incl. laciniata, minima, orbicularis, polymorpha, radiata, truncatula)	Medicago	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Medicago orbicularis (L.) Bart.	Medicago orbicularis	Medicago spp. (incl. laciniata, minima, orbicularis, polymorpha, radiata, truncatula)	Medicago	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Medicago polymorpha	Medicago polymorpha	Medicago spp. (incl. laciniata, minima, orbicularis, polymorpha, radiata, truncatula)	Medicago	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Medicago radiata	Medicago radiata	Medicago spp. (incl. laciniata, minima, orbicularis, polymorpha, radiata, truncatula)	Medicago	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Medicago radiata L.	Medicago radiata	Medicago spp. (incl. laciniata, minima, orbicularis, polymorpha, radiata, truncatula)	Medicago	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
cf. Medicago sp.	Medicago sp.	Medicago spp. (incl. laciniata, minima, orbicularis, polymorpha, radiata, truncatula)	Medicago	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Medicago	Medicago sp.	Medicago spp. (incl. laciniata, minima, orbicularis, polymorpha, radiata, truncatula)	Medicago	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Medicago sp.	Medicago sp.	Medicago spp. (incl. laciniata, minima, orbicularis, polymorpha, radiata, truncatula)	Medicago	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Medicago sp. Sect. Spirocarpos Ser. (pod)	Medicago sp.	Medicago spp. (incl. laciniata, minima, orbicularis, polymorpha, radiata, truncatula)	Medicago	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Medicago type	Medicago sp.	Medicago spp. (incl. laciniata, minima, orbicularis, polymorpha, radiata, truncatula)	Medicago	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Medicago truncatula Gaertn.	Medicago truncatula	Medicago spp. (incl. laciniata, minima, orbicularis, polymorpha, radiata, truncatula)	Medicago	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Melica persica	Melica persica	Melica persica	Melica	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Melilotus	Melilotus sp.	Melilotus sp.	Melilotus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
cf. Mentha sp.	Mentha sp.	Mentha sp.	Mentha	Lamiaceae	Wild plants	NA		NA	NA	NA
Mentha sp. uncarbonized	Mentha sp.	Mentha sp.	Mentha	Lamiaceae	Wild plants	NA		NA	NA	NA
Mesembryanthemum nodiflorum	Mesembryanthemum nodiflorum	Mesembryanthemum nodiflorum	Mesembryanthemum	Aizoaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Micromeria	Micromeria sp.	Micromeria sp.	Micromeria	Lamiaceae	Wild plants	NA		NA	NA	NA
Minuartia hybrida (Vill.)Schischk.	Minuartia hybrida	Minuartia spp. (incl. hybrida, rubella)	Minuartia	Caryophillaceae	Wild plants	NA		NA	NA	NA
Minuartia rubella	Minuartia rubella	Minuartia spp. (incl. hybrida, rubella)	Minuartia	Caryophillaceae	Wild plants	NA		NA	NA	NA
Minuartia	Minuartia sp.	Minuartia spp. (incl. hybrida, rubella)	Minuartia	Caryophillaceae	Wild plants	NA		NA	NA	NA
Moltkia coerulea	Moltkia coerulea	Moltkia coerulea	Moltkia	Boraginaceae	Wild plants	NA		NA	NA	NA
Muscari	Muscari sp.	Muscari sp.	Muscari	Asparagaceae	Wild plants	NA	bulbs	NA	NA	NA
Amaranthaceae	Gypsophila spp. (incl. elegans, obionica, pilosa)	NA	NA	Amaranthaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Anabasis/Noaea	NA	NA	NA	Amaranthaceae	Wild plants	NA		NA	NA	NA
Hammada/Salsola	NA	NA	NA	Amaranthaceae	Wild plants	NA		NA	NA	NA
Salsola/Suaeda	NA	NA	NA	Amaranthaceae	Wild plants	NA		NA	NA	NA
Salsoleae	NA	NA	NA	Amaranthaceae	Wild plants	NA		NA	NA	NA
Apiaceae indeterminate	NA	NA	NA	Apiaceae	Wild plants	NA		NA	NA	NA
Umbelliferae	NA	NA	NA	Apiaceae	Wild plants	NA		NA	NA	NA
Asclepiadaceae	NA	NA	NA	Apocynaceae	Wild plants	NA		NA	NA	NA
Bellevalia/Muscari	NA	NA	NA	Asparagaceae	Wild plants	NA		NA	NA	NA
Bellevalia/Muscari sp.	NA	NA	NA	Asparagaceae	Wild plants	NA		NA	NA	NA
Bellevalia/Ornithogalum	NA	NA	NA	Asparagaceae	Wild plants	NA		NA	NA	NA
Muscari/Ornithogalum	NA	NA	NA	Asparagaceae	Wild plants	NA		NA	NA	NA
Ornithogalum/Muscari	NA	NA	NA	Asparagaceae	Wild plants	NA		NA	NA	NA
Anthemideae	NA	NA	NA	Asteraceae	Wild plants	NA		NA	NA	NA
Asteraceae	NA	NA	NA	Asteraceae	Wild plants	NA		NA	NA	NA
Asteraceae indet.	NA	NA	NA	Asteraceae	Wild plants	NA		NA	NA	NA
Asteraceae indet. uncarbonized	NA	NA	NA	Asteraceae	Wild plants	NA		NA	NA	NA
Carthamus/Centaurea	NA	NA	NA	Asteraceae	Wild plants	NA		NA	NA	NA
Cirsium/Carduus	NA	NA	NA	Asteraceae	Wild plants	NA		NA	NA	NA
Cirsium/Carduus/Centaurea	NA	NA	NA	Asteraceae	Wild plants	NA		NA	NA	NA
Arnebia/Lithospermum	NA	NA	NA	Boraginaceae	Wild plants	NA		NA	NA	NA
Boraginaceae	NA	NA	NA	Boraginaceae	Wild plants	NA		NA	NA	NA
Boraginaceae indeterminate	NA	NA	NA	Boraginaceae	Wild plants	NA		NA	NA	NA
Boraginaceae indeterminate, uncarbonized	NA	NA	NA	Boraginaceae	Wild plants	NA		NA	NA	NA
Alyssum/Lepidium	NA	NA	NA	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Arabis/Cardamine	NA	NA	NA	Brassicaceae	Wild plants	NA		NA	NA	NA
Brassica/Sinapis	NA	NA	NA	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Brassica/Sinapis arvensis	NA	NA	NA	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Brassica/Sinapis sp.	NA	NA	NA	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Brassicaceae	NA	NA	NA	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Brassicaceae indet.	NA	NA	NA	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Brassicaceae indet. uncarbonized	NA	NA	NA	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Camelina/Camphorosma	NA	NA	NA	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
cf. Brassicaceae	NA	NA	NA	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Lepidium/Camelina	NA	NA	NA	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Lepidium/Sisymbrium	NA	NA	NA	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Capparaceae indeterminate	NA	NA	NA	Capparaceae	Wild plants	NA		NA	NA	NA
Arenaria/Minuartia	NA	NA	NA	Caryophyllaceae	Wild plants	NA		NA	NA	NA
Caryophyllaceae	NA	NA	NA	Caryophyllaceae	Wild plants	NA		NA	NA	NA
Caryophyllaceae indet.	NA	NA	NA	Caryophyllaceae	Wild plants	NA		NA	NA	NA
Caryophyllaceae indet. uncarbonized	NA	NA	NA	Caryophyllaceae	Wild plants	NA		NA	NA	NA
Caryophyllaceae/Chenopodiaceae indet.	NA	NA	NA	Caryophyllaceae	Wild plants	NA		NA	NA	NA
Silene/Gypsophila	NA	NA	NA	Caryophyllaceae	Wild plants	NA		NA	NA	NA
Atriplex/Chenopodium	NA	NA	NA	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Chenopodiaceae indet.	NA	NA	NA	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Cistaceae indeterminatae	NA	NA	NA	Cistaceae	Wild plants	NA		NA	NA	NA
Cucumis/Citrullus	NA	NA	NA	Cucurbitaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Cucurbitaceae	NA	NA	NA	Cucurbitaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Cucurbitaceae indeterminate	NA	NA	NA	Cucurbitaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Bolboschoenus maritimus/Eleocharis dulcis	NA	NA	NA	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Cyperaceae	NA	NA	NA	Cyperaceae	Wild plants	NA		NA	NA	NA
Cyperaceae indet.	NA	NA	NA	Cyperaceae	Wild plants	NA		NA	NA	NA
Cyperaceae indet. uncarbonized	NA	NA	NA	Cyperaceae	Wild plants	NA		NA	NA	NA
Scirpus/Cyperus	NA	NA	NA	Cyperaceae	Wild plants	NA		NA	NA	NA
Dipsacaceae indeterminate	NA	NA	NA	Dipsacaceae	Wild plants	NA		NA	NA	NA
Euphorbiaceae indeterminate	NA	NA	NA	Euphorbiaceae	Wild plants	NA		NA	NA	NA
Acacia/Prosopis	NA	NA	NA	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Astragalus/Trigonella	NA	NA	NA	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
cf. Trifolium/Trigonella	NA	NA	NA	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Cicer/Lathyrus	NA	NA	NA	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Fabaceae	NA	NA	NA	Fabaceae	Pulses	NA		NA	Inteterminate	NA
Fabaceae indet.	NA	NA	NA	Fabaceae	Pulses	NA		NA	Inteterminate	NA
Fabaceae indet. pod	NA	NA	NA	Fabaceae	Pulses	NA		NA	Inteterminate	NA
Fabaceae indeterminate large	NA	NA	NA	Fabaceae	Pulses	NA		NA	Inteterminate	NA
Fabaceae indeterminate small	NA	NA	NA	Fabaceae	Pulses	NA		NA	Inteterminate	NA
Fabaceae sat. indet.	NA	NA	NA	Fabaceae	Pulses	NA		NA	Inteterminate	NA
Fabeae	NA	NA	NA	Fabaceae	Pulses	NA		NA	Inteterminate	NA
Faboideae	NA	NA	NA	Fabaceae	Pulses	NA		NA	Inteterminate	NA
Glycyrrhiza/Onobrychis	NA	NA	NA	Fabaceae	Pulses	NA		NA	Large/medium-seeded	NA
Lens/Pisum	NA	NA	NA	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Medicago/Trifolium	NA	NA	NA	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Melilotus/Trifolium	NA	NA	NA	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Pisum/Lathyrus sp.	NA	NA	NA	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Pisum/Vicia sp.	NA	NA	NA	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Pisum/Vicia/Lathyrus	NA	NA	NA	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Prosopis/Citrullus	NA	NA	NA	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
small legumes total	NA	NA	NA	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
SSLEG	NA	NA	NA	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Trifolieae	NA	NA	NA	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Trifolieae/Astragalus	NA	NA	NA	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Vicia/Lathyrus	NA	NA	NA	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Vicia/Pisum	NA	NA	NA	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Geraniaceae	NA	NA	NA	Geraniaceae	Wild plants	NA		NA	NA	NA
Ajuga/Teucrium	NA	NA	NA	Lamiaceae	Wild plants	NA		NA	NA	NA
Lamiaceae	NA	NA	NA	Lamiaceae	Wild plants	NA		NA	NA	NA
Lamiaceae indet.	NA	NA	NA	Lamiaceae	Wild plants	NA		NA	NA	NA
Lamiaceae indet. uncarbonized	NA	NA	NA	Lamiaceae	Wild plants	NA		NA	NA	NA
Teucrium/Ajuga sp.	NA	NA	NA	Lamiaceae	Wild plants	NA		NA	NA	NA
Liliaceae	NA	NA	NA	Liliaceae	Wild plants	NA		NA	NA	NA
Liliaceae indeterminate	NA	NA	NA	Liliaceae	Wild plants	NA		NA	NA	NA
Malvaceae	NA	NA	NA	Malvaceae	Wild plants	NA		NA	NA	NA
Malvaceae indet.	NA	NA	NA	Malvaceae	Wild plants	NA		NA	NA	NA
Moraceae	NA	NA	NA	Moraceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Brassicaceae and Chenopodiaceae	NA	NA	NA	NA	Wild plants	NA		NA	NA	NA
category: wet loving species	NA	NA	NA	NA	Wild plants	NA		NA	NA	NA
Chenopodiaceae/Caryophyllaceae	NA	NA	NA	NA	Wild plants	NA		NA	NA	NA
Chenopodiaceae/Caryophyllaceae indeterminate	NA	NA	NA	NA	Wild plants	NA		NA	NA	NA
Chenopodiaceae/Crucifer	NA	NA	NA	NA	Wild plants	NA		NA	NA	NA
Compositae/Labiatae	NA	NA	NA	NA	Wild plants	NA		NA	NA	NA
Dipsacaceae/Compositae	NA	NA	NA	NA	Wild plants	NA		NA	NA	NA
fruits/nuts	NA	NA	NA	NA	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Gramineae/Cyperaceae	NA	NA	NA	NA	NA	NA		NA	NA	NA
indet nut/fruit	NA	NA	NA	NA	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
indet wild	NA	NA	NA	NA	Wild plants	NA		NA	NA	NA
indet. (large pulse)	NA	NA	NA	Fabaceae	Pulses	NA		NA	Large/medium-seeded	NA
indeterminata	NA	NA	NA	NA	NA	NA		NA	NA	NA
indeterminate wood	NA	NA	NA	NA	NA	NA		NA	NA	TRUE
LSLEG	NA	NA	NA	Fabaceae	Pulses	NA		NA	NA	NA
other weeds total including indet. Types	NA	NA	NA	NA	Wild plants	NA		NA	NA	NA
Parenchyma	NA	NA	NA	NA	Wild plants	NA		NA	NA	NA
Pistacia/Celtis	NA	NA	NA	NA	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
sedges/nutlets	NA	NA	NA	NA	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Suaeda/Scirpus maritimus	NA	NA	NA	NA	Wild plants	NA		NA	NA	NA
Papaveraceae	NA	NA	NA	Papaveraceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Plantaginaceae indeterminate	NA	NA	NA	Plantaginaceae	Wild plants	NA		NA	NA	NA
Aeluropus/Agrostis/Eragrostis	NA	NA	NA	Poaceae	Grasses	NA		Small-seeded	NA	NA
Agropyron/Eremopyrum	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Agrostis/Poa	NA	NA	NA	Poaceae	Grasses	NA		Small/medium-seeded	NA	NA
Avena/Stipa	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Aveneae	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Brachypodium/Bromus	NA	NA	NA	Poaceae	Grasses	NA		Small/medium-seeded	NA	NA
cereal indet. (domestic)	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Cereal indeterminate	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Cereal indeterminate basal culm	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Cereal indeterminate chaff	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Cereal indeterminate culm	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Cereal indeterminate fragment	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Cereal indeterminate grains	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Cereal indeterminate rachis	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Cynodon/Tragus	NA	NA	NA	Poaceae	Grasses	NA		Small-seeded	NA	NA
Echinaria/Setaria	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Festuca/Lolium sp.	NA	NA	NA	Poaceae	Grasses	NA		Small/medium-seeded	NA	NA
Hordeum/Aegilops	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Hordeum/Bromus	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Hordeum/Elymus	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Hordeum/Secale	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Hordeum/Taeniatherum	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Hyacinthaceae	NA	NA	NA	Hyacianthaceae	Wild plants	NA		Large/medium-seeded	NA	NA
Imperata/Saccharum	NA	NA	NA	Poaceae	Grasses	NA		Small-seeded	NA	NA
other grasses	NA	NA	NA	Poaceae	Grasses	NA		NA	NA	NA
Paniceae	NA	NA	NA	Poaceae	Grasses	NA		Small-seeded	NA	NA
Panicoid	NA	NA	NA	Poaceae	Grasses	NA		Small-seeded	NA	NA
Panicum/Setaria	NA	NA	NA	Poaceae	Grasses	NA		Small-seeded	NA	NA
Phalaris/Alopecurus	NA	NA	NA	Poaceae	Grasses	NA		Small-seeded	NA	NA
Poaceae	NA	NA	NA	Poaceae	Grasses	NA		Indeterminate	NA	NA
Poaceae (small-seeded)	NA	NA	NA	Poaceae	Grasses	NA		Small-seeded	NA	NA
Poaceae indet.	NA	NA	NA	Poaceae	Grasses	NA		NA	NA	NA
Poaceae indet. awn	NA	NA	NA	Poaceae	Grasses	NA		NA	NA	NA
Poaceae indet. culm fragments	NA	NA	NA	Poaceae	Grasses	NA		NA	NA	NA
Poaceae indet. large	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Poaceae indet. medium	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Poaceae indet. rachis fragment	NA	NA	NA	Poaceae	Grasses	NA		NA	NA	NA
Poaceae indet. small	NA	NA	NA	Poaceae	Grasses	NA		Small-seeded	NA	NA
Poaceae indet. spikelet remains	NA	NA	NA	Poaceae	Grasses	NA		Small-seeded	NA	NA
Poaceae indet. wild	NA	NA	NA	Poaceae	Grasses	NA		NA	NA	NA
Psilurus/Parapholis	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Setaria/Digitaria	NA	NA	NA	Poaceae	Grasses	NA		Small-seeded	NA	NA
Stipa/Stipagrostis	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Triticum/Aegilops	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Triticum/Hordeum	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Triticum/Secale	NA	NA	NA	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Vulpia/Loliolum	NA	NA	NA	Poaceae	Grasses	NA		Small-seeded	NA	NA
wild grasses	NA	NA	NA	Poaceae	Grasses	NA		NA	NA	NA
cf. Polygonaceae	NA	NA	NA	Polygonaceae	Wild plants	NA		NA	NA	NA
Polygonaceae	NA	NA	NA	Polygonaceae	Wild plants	NA		NA	NA	NA
Polygonaceae indet.	NA	NA	NA	Polygonaceae	Wild plants	NA		NA	NA	NA
Polygonum/Rumex	NA	NA	NA	Polygonaceae	Wild plants	NA		NA	NA	NA
Polygonum/Rumex sp.	NA	NA	NA	Polygonaceae	Wild plants	NA		NA	NA	NA
Primulaceae	NA	NA	NA	Primulaceae	Wild plants	NA		NA	NA	NA
Pyrus/Malus	NA	NA	NA	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Pyrus/Malus sp.	NA	NA	NA	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Rosaceae	NA	NA	NA	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Asperula/Galium sect. Kolgyda	NA	NA	NA	Rubiaceae	Wild plants	NA		NA	NA	NA
Asperula/Galium sp.	NA	NA	NA	Rubiaceae	Wild plants	NA		NA	NA	NA
Rubiaceae	NA	NA	NA	Rubiaceae	Wild plants	NA		NA	NA	NA
Populus/Salix wood	NA	NA	NA	Salicaceae	NA	NA		NA	NA	TRUE
Scrophulariaceae	NA	NA	NA	Scrophulariaceae	Wild plants	NA		NA	NA	NA
Solanaceae	NA	NA	NA	Solanaceae	Wild plants	NA		NA	NA	NA
Solanaceae indeterminate	NA	NA	NA	Solanaceae	Wild plants	NA		NA	NA	NA
Solanaceae indeterminate uncarbonized	NA	NA	NA	Solanaceae	Wild plants	NA		NA	NA	NA
Thymelaeaceae	NA	NA	NA	Thymelaeaceae	Wild plants	NA		NA	NA	NA
Neslia paniculata	Neslia paniculata	Neslia spp. (incl. paniculata)	Neslia	Brassicaceae	Wild plants	NA		NA	NA	NA
Neslia	Neslia sp.	Neslia spp. (incl. paniculata)	Neslia	Brassicaceae	Wild plants	NA		NA	NA	NA
Neslia sp.	Neslia sp.	Neslia spp. (incl. paniculata)	Neslia	Brassicaceae	Wild plants	NA		NA	NA	NA
Notobasis syriaca	Notobasis syriaca	Notobasis syriaca	Notobasis	Asteraceae	Wild plants	NA		NA	NA	NA
Olea europaea L.	Olea europaea	Olea spp. (incl. europaea)	Olea	Oleaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Olea europaea L. wood	Olea europaea	Olea spp. (incl. europaea)	Olea	Oleaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	TRUE
Olea europea	Olea europaea	Olea spp. (incl. europaea)	Olea	Oleaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Olea	Olea sp.	Olea spp. (incl. europaea)	Olea	Oleaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Olea sp. L.	Olea sp.	Olea spp. (incl. europaea)	Olea	Oleaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Onobrychis crista-galli	Onobrychis crista-galli	Onobrychis spp. (incl. crista-galli)	Onobrychis	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
cf. Onobrychis sp.	Onobrychis sp.	Onobrychis spp. (incl. crista-galli)	Onobrychis	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Onobrychis	Onobrychis sp.	Onobrychis spp. (incl. crista-galli)	Onobrychis	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Onobrychis sp.	Onobrychis sp.	Onobrychis spp. (incl. crista-galli)	Onobrychis	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Ononis serrata	Ononis serrata	Ononis spp. (incl. serrata, viscosa)	Ononis	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Ononis	Ononis sp.	Ononis spp. (incl. serrata, viscosa)	Ononis	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Ononis viscosa L.	Ononis viscosa	Ononis spp. (incl. serrata, viscosa)	Ononis	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Onopordum sp. L. uncarbonized	Onopordum sp.	Onopordum sp.	Onopordum	Asteraceae	Wild plants	NA		NA	NA	NA
Ornithogalum	Ornithogalum sp.	Ornithogalum sp.	Ornithogalum	Asparagaceae	Wild plants	NA		NA	NA	NA
Ornithogalum sp.	Ornithogalum sp.	Ornithogalum sp.	Ornithogalum	Asparagaceae	Wild plants	NA		NA	NA	NA
Ornithogalum type	Ornithogalum sp.	Ornithogalum sp.	Ornithogalum	Asparagaceae	Wild plants	NA		NA	NA	NA
Oxalis sp.	Oxalis sp.	Oxalis sp.	Oxalis	Oxalidaceae	Wild plants	NA		NA	NA	NA
