canon	variant	genus	family	crop_type	grass_type	legume_type	wood
NA	Caryophyllaceae	NA	Caryophyllaceae	Wild	NA	NA	NA
NA	Caryophyllaceae indet.	NA	Caryophyllaceae	Wild	NA	NA	NA
NA	Caryophyllaceae indet. uncarbonized	NA	Caryophyllaceae	Wild	NA	NA	NA
NA	Caryophyllaceae/Chenopodiaceae indet.	NA	Caryophyllaceae	Wild	NA	NA	NA
NA	Silene/Gypsophila	NA	Caryophyllaceae	Wild	NA	NA	NA
Stellaria sp.	Stellaria sp.	Stellaria	Caryophyllaceae	Wild	NA	NA	NA
Chara sp.	Chara sp.	Chara	Characeae	Wild	NA	NA	NA
Atriplex lasiantha	Atriplex lasiantha	Atriplex	Chenopodiaceae	Wild	NA	NA	NA
Atriplex leucoclada	Atriplex leucoclada	Atriplex	Chenopodiaceae	Wild	NA	NA	NA
Atriplex prostrata	Atriplex prostrata	Atriplex	Chenopodiaceae	Wild	NA	NA	NA
Atriplex rosea	Atriplex rosea	Atriplex	Chenopodiaceae	Wild	NA	NA	NA
Atriplex sp.	Atriplex	Atriplex	Chenopodiaceae	Wild	NA	NA	NA
Atriplex sp.	Atriplex sp.	Atriplex	Chenopodiaceae	Wild	NA	NA	NA
Atriplex sp.	Atriplex sp. uncarbonized	Atriplex	Chenopodiaceae	Wild	NA	NA	NA
Chenopodium album	Chenopodium album	Chenopodium	Chenopodiaceae	Wild	NA	NA	NA
Chenopodium album	Chenopodium album L.	Chenopodium	Chenopodiaceae	Wild	NA	NA	NA
Chenopodium album	Chenopodium album L. uncarbonized	Chenopodium	Chenopodiaceae	Wild	NA	NA	NA
Chenopodium glaucum	Chenopodium glaucum	Chenopodium	Chenopodiaceae	Wild	NA	NA	NA
Chenopodium murale	Chenopodium cf. murale L.	Chenopodium	Chenopodiaceae	Wild	NA	NA	NA
Chenopodium murale	Chenopodium murale L.	Chenopodium	Chenopodiaceae	Wild	NA	NA	NA
Chenopodium rubrum	Chenopodium rubrum	Chenopodium	Chenopodiaceae	Wild	NA	NA	NA
Chenopodium sp.	cf. Chenopodium sp.	Chenopodium	Chenopodiaceae	Wild	NA	NA	NA
Chenopodium sp.	Chenopodium	Chenopodium	Chenopodiaceae	Wild	NA	NA	NA
Chenopodium sp.	Chenopodium rubrum/glaucum uncarbonized	Chenopodium	Chenopodiaceae	Wild	NA	NA	NA
Chenopodium sp.	Chenopodium sp.	Chenopodium	Chenopodiaceae	Wild	NA	NA	NA
NA	Atriplex/Chenopodium	NA	Chenopodiaceae	Wild	NA	NA	NA
NA	Chenopodiaceae indet.	NA	Chenopodiaceae	Wild	NA	NA	NA
Helianthemum ledifolium	Helianthemum ledifolium	Helianthemum	Cistaceae	Wild	NA	NA	NA
Helianthemum salicifolium	Helianthemum salicifolium	Helianthemum	Cistaceae	Wild	NA	NA	NA
Helianthemum salicifolium	Helianthemum salicifolium (L.) Miller	Helianthemum	Cistaceae	Wild	NA	NA	NA
Helianthemum sp.	cf. Helianthemum sp.	Helianthemum	Cistaceae	Wild	NA	NA	NA
Helianthemum sp.	Helianthemum	Helianthemum	Cistaceae	Wild	NA	NA	NA
NA	Cistaceae indeterminatae	NA	Cistaceae	Wild	NA	NA	NA
Leontodon sp.	Leontodon sp. L.	Leontodon	Compositae	Wild	NA	NA	NA
Convolvulus arvensis	Convolvulus arvensis	Convolvulus	Convolvulaceae	Wild	NA	NA	NA
Convolvulus sp.	Convolvulus	Convolvulus	Convolvulaceae	Wild	NA	NA	NA
Convolvulus sp.	Convolvulus sp. L.	Convolvulus	Convolvulaceae	Wild	NA	NA	NA
